run_name,id,ref,hyp,wer,cer
wav2vec2_1h_layer9_hf_cuda,7176-92135-0035,then lord tuppeny well what about auction,thn l rd tuppan w wht afb t on,1.2857142857142858,0.45714285714285713
wav2vec2_1h_layer9_hf_cuda,8463-294825-0000,it's almost beyond conjecture,it's s t b nd conecer,1.25,0.4230769230769231
wav2vec2_1h_layer9_hf_cuda,8463-294825-0017,liter roughly one quart,ltr ruf ly wn cort,1.25,0.5
wav2vec2_1h_layer0_hf_cuda,2094-142345-0016,spinning indeed,pi n n d,2.0,0.6428571428571429
wav2vec2_1h_layer0_hf_cuda,121-121726-0001,harangue the tiresome product of a tireless tongue,ar r r ng th tson plt i to tha t lis s tn,1.75,0.6046511627906976
wav2vec2_1h_layer0_hf_cuda,1995-1836-0009,but cresswell added significantly capacity differs enormously between races,bt creswl ad si nitigcily ch psid d e s nnmlasnt bi ten rasis,1.5555555555555556,0.5074626865671642
wav2vec2_1h_layer0_hf_cuda,6930-76324-0022,then she suddenly remarked,thn t lhe r r t,1.5,0.7391304347826086
wav2vec2_1h_layer0_hf_cuda,7127-75947-0004,explain yourself,c ply ursf,1.5,0.5333333333333333
wav2vec2_1h_layer0_hf_cuda,7021-79759-0001,that is comparatively nothing,t his om preth ly nofh,1.5,0.46153846153846156
wav2vec2_1h_layer0_hf_cuda,1089-134691-0003,the university,thn nif rt,1.5,0.5384615384615384
wav2vec2_1h_layer0_hf_cuda,1089-134691-0018,again again,g ha gn,1.5,0.6
wav2vec2_1h_layer0_hf_cuda,1089-134691-0024,stephanos dedalos,dfou nos dt,1.5,0.75
wav2vec2_1h_layer0_hf_cuda,2830-3980-0035,they remain divine regardless of men's opinion,th re mn t f in rgr ths mnt tpin,1.4285714285714286,0.575
mel_1h_hf_cuda,6930-75918-0000,concord returned to its place amidst the tents,,1.0,1.0
mel_1h_hf_cuda,6930-75918-0001,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,,1.0,1.0
mel_1h_hf_cuda,6930-75918-0002,congratulations were poured in upon the princess everywhere during her journey,,1.0,1.0
mel_1h_hf_cuda,6930-75918-0003,from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,,1.0,1.0
mel_1h_hf_cuda,6930-75918-0004,she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened before them,,1.0,1.0
mel_1h_hf_cuda,6930-75918-0005,the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,,1.0,1.0
mel_1h_hf_cuda,6930-75918-0006,this has indeed been a harassing day continued the young man his eyes fixed upon his friend,,1.0,1.0
mel_1h_hf_cuda,6930-75918-0007,you will be frank with me i always am,,1.0,1.0
mel_1h_hf_cuda,6930-75918-0008,can you imagine why buckingham has been so violent i suspect,,1.0,1.0
mel_1h_hf_cuda,6930-75918-0009,it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,,1.0,1.0
hubert_1h_finetune6_hf_cuda,3575-170457-0016,farewell madam,fare well madm,1.5,0.07692307692307693
hubert_1h_finetune6_hf_cuda,1089-134691-0024,stephanos dedalos,stuffonos ded los,1.5,0.3125
hubert_1h_finetune6_hf_cuda,8555-284447-0016,fine glorious,finware he is,1.5,0.6666666666666666
hubert_1h_finetune6_hf_cuda,260-123286-0020,tuesday august eighteenth,twusetay ogust eight tentth,1.3333333333333333,0.34782608695652173
hubert_1h_finetune6_hf_cuda,2961-961-0003,i will if timaeus approves i approve,i will yuve to me as a prove i a provee,1.1428571428571428,0.36666666666666664
hubert_1h_finetune6_hf_cuda,260-123440-0001,poor alice,por auls,1.0,0.5555555555555556
hubert_1h_finetune6_hf_cuda,260-123288-0014,hans stirs not,hons stars night,1.0,0.4166666666666667
hubert_1h_finetune6_hf_cuda,2094-142345-0016,spinning indeed,spining inded,1.0,0.14285714285714285
hubert_1h_finetune6_hf_cuda,2094-142345-0022,mister ottley's indeed,mister ot lies ended,1.0,0.3
hubert_1h_finetune6_hf_cuda,2094-142345-0041,direction,drection,1.0,0.1111111111111111
hubert_1h_frozen_hf_cuda,672-122797-0049,squeak squeak,s ceik s cik,2.0,0.5833333333333334
hubert_1h_frozen_hf_cuda,1089-134691-0024,stephanos dedalos,stdeffan os ded los,2.0,0.25
hubert_1h_frozen_hf_cuda,8463-294825-0011,he's swiftly punished,he 's s wifly punisd,1.6666666666666667,0.15789473684210525
hubert_1h_frozen_hf_cuda,2094-142345-0016,spinning indeed,spiing in ded,1.5,0.21428571428571427
hubert_1h_frozen_hf_cuda,3575-170457-0016,farewell madam,sfer wel madme,1.5,0.46153846153846156
hubert_1h_frozen_hf_cuda,61-70968-0038,robin fitzooth,ropen fit s,1.5,0.5384615384615384
hubert_1h_frozen_hf_cuda,237-134500-0001,marie sighed,me re sd,1.5,0.5454545454545454
hubert_1h_frozen_hf_cuda,237-134500-0025,oh emil,o a ml,1.5,0.5
hubert_1h_frozen_hf_cuda,4992-41797-0019,olive's mournful black eyes met nancy's sparkling brown ones,al of s morn fle blacc is maent nanshy s sbarckling bron wens,1.4444444444444444,0.4423076923076923
hubert_1h_frozen_hf_cuda,1995-1837-0017,he gazed about perplexed astonished,he gas d a bol por plecxd asnisd,1.4,0.3548387096774194
